ESP_V (kV),V1,V2,run,R,Dp1,Dp2,Mobility (m2/s/V)
11.0,2850,5500,6,20.024478,63.984939,265.9795443303082,5.9550217e-08
11.0,3000,5500,6,16.734277,65.816925,265.9795443303082,5.6577669e-08
11.0,5,1500,6,2.055894,2.447685,116.66360703955151,3.3946601e-05
11.0,154,1500,6,2.021722,13.852126,116.66360703955151,1.096821e-06
11.0,304,1500,6,1.978588,19.59787,116.66360703955151,5.57415458e-07
11.0,454,1500,6,1.94338,24.094931,116.66360703955151,3.73655492e-07
11.0,604,1500,6,4.926571,27.9457,116.66360703955151,2.81014912e-07
11.0,753,1500,6,101.616837,31.377293,116.66360703955151,2.25184752e-07
11.0,903,1500,6,203.571761,34.509366,116.66360703955151,1.87861657e-07
11.0,1053,1500,6,260.784945,37.423201,116.66360703955151,1.6115168e-07
11.0,1203,1500,6,234.748275,40.156354,116.66360703955151,1.41091444e-07
11.0,1352,1500,6,178.813306,42.744274,116.66360703955151,1.25472561e-07
11.0,1502,1500,6,134.443747,45.211133,116.66360703955151,1.1296706e-07
11.0,1652,1500,6,84.727137,47.574886,116.66360703955151,1.02728405e-07
11.0,1802,1500,6,52.578966,49.844984,116.66360703955151,9.4191458e-08
11.0,1951,1500,6,31.7837,52.045355,116.66360703955151,8.6964523e-08
11.0,2101,1500,6,20.566017,54.172056,116.66360703955151,8.076755e-08
11.0,2251,1500,6,15.062476,56.237026,116.66360703955151,7.5395006e-08
11.0,2401,1500,6,12.57112,58.246453,116.66360703955151,7.0692631e-08
11.0,2550,1500,6,8.47028,60.205577,116.66360703955151,6.6542392e-08
11.0,2700,1500,6,8.207562,62.118885,116.66360703955151,6.2852437e-08
11.0,2850,1500,6,5.771066,63.984939,116.66360703955151,5.9550217e-08
11.0,3000,1500,6,8.353119,65.816925,116.66360703955151,5.6577669e-08
